Date,target_sindaebang,sillim3bridge,gwankdorimbridge,yangsnabridge,Geumcheon,Guankak,Namhyoen,Hyeonchoongwon,Gisangcheong,Yeongdeungpo,Yangcheon,Hangang,Acc_6h_Geumcheon,Acc_6h_Guankak,Acc_6h_Namhyoen,Acc_6h_Hyeonchoongwon,Acc_6h_Gisangcheong,Acc_6h_Yeongdeungpo,Acc_6h_Yangcheon,Acc_6h_Hangang,Avg_raninfall_710101,Avg_raninfall_710102,Avg_raninfall_710103,Avg_raninfall_710104,Avg_raninfall_710105,Avg_raninfall_710106,Avg_raninfall_710107,Avg_raninfall_710108,Avg_raninfall_710109,Avg_raninfall_710110,sindaebang_0.5h,sindaebang_1h,sindaebang_2h,sindaebang_3h,sindaebang_4h,sindaebang_5h,sindaebang_6h
2022-05-06 10:20,13.06,0.19,0.16,31.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.06,13.06,13.06,13.06,13.07,13.06,13.06
2022-05-06 10:30,13.06,0.19,0.15,31.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.06,13.07,13.06,13.06,13.07,13.06,13.06
2022-05-06 10:40,13.06,0.19,0.16,31.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.07,13.07,13.06,13.06,13.06,13.05,13.06
2022-05-06 10:50,13.06,0.2,0.16,31.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.06,13.06,13.06,13.06,13.06,13.05,13.06
2022-05-06 11:00,13.06,0.2,0.16,31.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.07,13.06,13.06,13.06,13.06,13.06,13.06
2022-05-06 11:10,13.07,0.2,0.16,31.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.07,13.06,13.06,13.06,13.06,13.06,13.06
2022-05-06 11:20,13.06,0.2,0.16,31.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.06,13.06,13.06,13.07,13.06,13.06,13.06
2022-05-06 11:30,13.07,0.2,0.16,31.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.06,13.06,13.06,13.07,13.06,13.06,13.06
2022-05-06 11:40,13.07,0.2,0.15,31.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.06,13.06,13.06,13.06,13.05,13.06,13.06
2022-05-06 11:50,13.06,0.2,0.15,31.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.06,13.06,13.06,13.06,13.05,13.06,13.07
2022-05-06 12:00,13.06,0.2,0.15,31.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.06,13.06,13.06,13.06,13.06,13.06,13.06
2022-05-06 12:10,13.06,0.2,0.16,31.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.06,13.06,13.06,13.06,13.06,13.06,13.07
2022-05-06 12:20,13.06,0.2,0.16,31.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.06,13.06,13.07,13.06,13.06,13.06,13.06
2022-05-06 12:30,13.06,0.21,0.16,31.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.06,13.06,13.07,13.06,13.06,13.06,13.06
2022-05-06 12:40,13.06,0.2,0.15,31.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.06,13.06,13.06,13.05,13.06,13.06,13.06
2022-05-06 12:50,13.06,0.2,0.15,31.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.06,13.06,13.06,13.05,13.06,13.07,13.06
2022-05-06 13:00,13.06,0.21,0.14,31.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.06,13.06,13.06,13.06,13.06,13.06,13.07
2022-05-06 13:10,13.06,0.2,0.13,31.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.06,13.06,13.06,13.06,13.06,13.07,13.06
